Month	Sugar	Flour	Tissue	Soap	CookingOil	Salt	Coffee	Soya	Toothpaste	Fare	Lunch	Clothes	Shoes	BarberShop	RollOn	BodyLotion	HairOil	Rice	Spaghetti	Juice	Rent	Tithe
Jan	193	238	125	148	474	18	187	93	142	4247	1995	1248	2767	191	254	146	106	462	111	144	6416	2500
Feb	164	225	169	165	390	14	240	94	133	4014	1999	1158	2756	167	281	138	115	493	111	145	6413	2500
Mar	244	166	168	192	432	16	250	99	141	4538	1810	1389	2731	184	252	143	111	477	115	144	6489	2500
Apr	128	170	120	147	350	16	209	100	136	4985	1867	1430	2847	187	293	140	109	473	103	157	6448	2500
May	296	184	121	200	482	20	218	91	130	4231	1969	1402	2962	199	278	148	108	456	104	151	6414	2500
Jun	178	244	101	195	488	18	172	98	140	4945	1815	1290	2546	154	272	141	113	454	119	155	6473	2500
Jul	196	148	114	157	367	12	225	91	130	4554	1922	1402	2867	193	269	133	109	470	113	141	6479	2500
Aug	110	231	144	170	301	13	151	93	131	4801	1973	1178	2836	186	294	149	101	472	108	142	6409	2500
Sep	258	182	164	182	402	12	247	91	149	4577	1975	1085	2812	184	270	133	111	466	106	145	6432	2500
Oct	232	186	168	153	435	11	194	100	139	4413	1976	1417	2886	185	286	132	109	463	100	159	6429	2500
Nov	104	202	118	176	444	10	225	91	130	4614	1800	1435	2915	161	297	135	105	500	113	155	6417	2500
Dec	264	206	127	171	453	14	193	98	148	4219	1808	1381	2933	168	276	136	114	465	115	143	6472	2500
TOTAL	2367	2382	1639	2056	5018	174	2511	1139	1649	54138	22909	15815	33858	2159	3322	1674	1311	5651	1318	1781	77291	30000
